,time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,open,high,low,close,yesterday_settlementprice,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest
0,2023-07-07 21:30:00,p2310,p2310,7418.0,2563.0,190383200.0,-129.0,7432.0,7446.0,7412.0,7456.0,7492.0,7456.0,7432.0,7446.0,7412.0,2563.0,190383200.0,83475
1,2023-07-07 22:00:00,p2310,p2310,7442.0,2018.0,150042640.0,-136.0,7418.0,7454.0,7414.0,7418.0,7492.0,7456.0,7432.0,7454.0,7412.0,4581.0,340425840.0,83339
2,2023-07-07 22:30:00,p2310,p2310,7436.0,2089.0,155612560.0,-198.0,7442.0,7474.0,7430.0,7442.0,7492.0,7456.0,7432.0,7474.0,7412.0,6670.0,496038400.0,83141
3,2023-07-07 23:00:00,p2310,p2310,7456.0,1107.0,82466720.0,-187.0,7436.0,7466.0,7436.0,7436.0,7492.0,7456.0,7432.0,7474.0,7412.0,7777.0,578505120.0,82954
4,2023-07-10 09:30:00,p2310,p2310,7462.0,3089.0,230932920.0,-262.0,7448.0,7520.0,7440.0,7456.0,7492.0,7456.0,7432.0,7520.0,7412.0,10866.0,809438040.0,82692
5,2023-07-10 10:00:00,p2310,p2310,7418.0,2008.0,149392020.0,-194.0,7460.0,7462.0,7404.0,7462.0,7492.0,7456.0,7432.0,7520.0,7404.0,12874.0,958830060.0,82498
6,2023-07-10 10:45:00,p2310,p2310,7420.0,2334.0,172732740.0,92.0,7418.0,7422.0,7382.0,7418.0,7492.0,7456.0,7432.0,7520.0,7382.0,15208.0,1131562800.0,82590
7,2023-07-10 11:15:00,p2310,p2310,7406.0,1056.0,78229860.0,-47.0,7420.0,7426.0,7398.0,7420.0,7492.0,7456.0,7432.0,7520.0,7382.0,16264.0,1209792660.0,82543
8,2023-07-10 13:45:00,p2310,p2310,7474.0,1900.0,141675220.0,-199.0,7406.0,7502.0,7390.0,7406.0,7492.0,7456.0,7432.0,7520.0,7382.0,18164.0,1351467880.0,82344
9,2023-07-10 14:15:00,p2310,p2310,7474.0,963.0,71905460.0,-120.0,7474.0,7486.0,7456.0,7474.0,7492.0,7456.0,7432.0,7520.0,7382.0,19127.0,1423373340.0,82224
10,2023-07-10 14:45:00,p2310,p2310,7484.0,559.0,41828840.0,-36.0,7474.0,7492.0,7472.0,7474.0,7492.0,7456.0,7432.0,7520.0,7382.0,19686.0,1465202180.0,82188
11,2023-07-10 15:00:00,p2310,p2310,7508.0,686.0,51504280.0,-39.0,7484.0,7528.0,7484.0,7484.0,7492.0,7456.0,7432.0,7528.0,7382.0,20372.0,1516706460.0,82149
