合约代码,变动日,交易代码,交割年份,交割月份,交易品种,合约乘数,合约乘数单位,报价单位,最小变动价位,每日价格最大波动下限(%),每日价格最大波动上限(%),最后交易日参照标准,最后交易日相对参照标准偏移月份,最后交易日类别,最后交易日相对最后交易日所在月份偏移天数,最后交易日是否假日顺延,最后交易日,最后交割日参照标准,最后交割日相对参照标准偏移月份,最后交割日类别,最后交割日相对最后交割日所在月份偏移天数,最后交割日是否假日顺延,最后交割日,最低交易保证金(%),交割方式,上市地,期货类别,商品期货类别,基准代码
zn2310,20221018,zn,2023,10,锌,5.0,吨/手,元/吨,5.0,-4.0,4.0,合约交割月份,0,第N个自然日,15,是,20231016,最后交易日,0,第N个交易日,5,否,20231018,5.0,实物交割,上海期货交易所,商品期货,金属期货,
zn2311,20221116,zn,2023,11,锌,5.0,吨/手,元/吨,5.0,-4.0,4.0,合约交割月份,0,第N个自然日,15,是,20231115,最后交易日,0,第N个交易日,5,否,20231117,5.0,实物交割,上海期货交易所,商品期货,金属期货,
zn2312,20221216,zn,2023,12,锌,5.0,吨/手,元/吨,5.0,-4.0,4.0,合约交割月份,0,第N个自然日,15,是,20231215,最后交易日,0,第N个交易日,5,否,20231219,5.0,实物交割,上海期货交易所,商品期货,金属期货,
zn2401,20230117,zn,2024,1,锌,5.0,吨/手,元/吨,5.0,-4.0,4.0,合约交割月份,0,第N个自然日,15,是,20240115,最后交易日,0,第N个交易日,5,否,20240117,5.0,实物交割,上海期货交易所,商品期货,金属期货,
zn2402,20230216,zn,2024,2,锌,5.0,吨/手,元/吨,5.0,-4.0,4.0,合约交割月份,0,第N个自然日,15,是,20240215,最后交易日,0,第N个交易日,5,否,20240219,5.0,实物交割,上海期货交易所,商品期货,金属期货,
zn2403,20230316,zn,2024,3,锌,5.0,吨/手,元/吨,5.0,-4.0,4.0,合约交割月份,0,第N个自然日,15,是,20240315,最后交易日,0,第N个交易日,5,否,20240319,5.0,实物交割,上海期货交易所,商品期货,金属期货,
zn2404,20230418,zn,2024,4,锌,5.0,吨/手,元/吨,5.0,-4.0,4.0,合约交割月份,0,第N个自然日,15,是,20240415,最后交易日,0,第N个交易日,5,否,20240417,5.0,实物交割,上海期货交易所,商品期货,金属期货,
zn2405,20230516,zn,2024,5,锌,5.0,吨/手,元/吨,5.0,-4.0,4.0,合约交割月份,0,第N个自然日,15,是,20240515,最后交易日,0,第N个交易日,5,否,20240517,5.0,实物交割,上海期货交易所,商品期货,金属期货,
zn2406,20230616,zn,2024,6,锌,5.0,吨/手,元/吨,5.0,-4.0,4.0,合约交割月份,0,第N个自然日,15,是,20240617,最后交易日,0,第N个交易日,5,否,20240619,5.0,实物交割,上海期货交易所,商品期货,金属期货,
zn2407,20230718,zn,2024,7,锌,5.0,吨/手,元/吨,5.0,-4.0,4.0,合约交割月份,0,第N个自然日,15,是,20240715,最后交易日,0,第N个交易日,5,否,20240717,5.0,实物交割,上海期货交易所,商品期货,金属期货,
zn2408,20230816,zn,2024,8,锌,5.0,吨/手,元/吨,5.0,-4.0,4.0,合约交割月份,0,第N个自然日,15,是,20240815,最后交易日,0,第N个交易日,5,否,20240819,5.0,实物交割,上海期货交易所,商品期货,金属期货,
zn2409,20230918,zn,2024,9,锌,5.0,吨/手,元/吨,5.0,-4.0,4.0,合约交割月份,0,第N个自然日,15,是,20240916,最后交易日,0,第N个交易日,5,否,20240918,5.0,实物交割,上海期货交易所,商品期货,金属期货,
